Qtr,ATT1,ATT2,ATT3,ATT4,HW1,HW2,HW3,HW4,Mid,Score,Grade
1,Y,Y,Y,Y,0.6333,0.9286,0.9000,0.7700,0.8182,0.6200,C
1,Y,Y,Y,Y,0.7167,0.9857,0.8571,0.7600,0.6818,0.6300,C
1,Y,Y,Y,Y,0.0000,0.0000,0.9143,0.8600,0.5114,0.0000,F
1,Y,Y,Y,Y,0.0000,0.8857,0.8571,0.9100,0.6705,0.5400,C
1,Y,Y,Y,N,0.8500,0.9000,1.0000,0.8500,0.6818,0.5000,C
1,Y,Y,Y,Y,1.0000,0.9000,1.0000,0.8900,0.9545,0.8800,A
1,Y,Y,Y,Y,0.9833,1.0000,1.0000,0.9900,0.9091,0.9450,A
1,Y,Y,Y,Y,0.6667,1.0000,0.4571,0.0000,0.9659,0.8300,C
1,Y,Y,Y,Y,0.9000,0.9857,1.0000,0.9400,1.0000,0.3600,C
1,Y,N,Y,Y,0.5667,0.7429,0.5000,0.7800,0.7273,0.6200,C
1,Y,Y,Y,Y,0.0000,0.9571,0.9000,0.7300,0.7727,0.8500,B
1,Y,Y,Y,Y,0.0000,0.9429,0.9571,0.8500,0.7273,0.8600,B
1,N,N,Y,N,0.0000,0.8143,0.0000,0.0000,0.6364,0.0000,F
1,Y,Y,Y,Y,0.5333,0.9714,0.9857,0.8600,0.6250,0.6500,C
1,Y,Y,Y,Y,1.0000,1.0000,0.9714,0.9700,0.6932,0.8600,A
1,Y,Y,Y,N,0.5000,0.5000,0.5000,0.0000,0.6932,0.5000,D
1,Y,Y,Y,N,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,F
1,Y,N,N,N,0.5000,0.5000,0.5000,0.9400,0.8750,0.7500,B
1,Y,Y,Y,Y,0.8000,0.8714,0.0000,0.7300,0.8068,0.7300,B
1,Y,Y,Y,Y,0.9833,0.9857,1.0000,1.0000,0.9432,1.0000,A
1,Y,Y,Y,Y,0.9667,1.0000,1.0000,1.0000,1.0000,0.9100,A
